	#%Freq (Hz)	%Mic/Source_Real	%Mic/Source_Imag
20.000000000000014E+0	3.455603230140848E-3	2.813321261562717E-3
20.500000000000014E+0	3.172212539817118E-3	1.389688944263240E-3
21.000000000000014E+0	4.300096996437006E-3	3.789010925833749E-3
21.500000000000014E+0	3.489802692631195E-3	1.272959258212109E-3
22.000000000000014E+0	2.745623637533152E-3	237.767772337653520E-6
22.500000000000014E+0	2.304277632088538E-3	144.439112116336320E-6
23.000000000000014E+0	1.990945476416778E-3	285.785819972066420E-6
23.500000000000014E+0	1.590326215455313E-3	504.922441135406300E-6
24.000000000000014E+0	1.948101085902622E-3	576.894485207993140E-6
24.500000000000014E+0	1.980791284217096E-3	1.046061399229243E-3
25.000000000000014E+0	1.989976693484527E-3	1.158189651300325E-3
25.500000000000014E+0	2.129835534118501E-3	1.117467960787206E-3
26.000000000000014E+0	2.417764440345826E-3	1.142451922536227E-3
26.500000000000014E+0	2.700862583806288E-3	1.193502748183565E-3
27.000000000000014E+0	2.884060262333686E-3	1.050673191218980E-3
27.500000000000014E+0	3.029988888823367E-3	1.073034837027850E-3
28.000000000000014E+0	3.306437959360311E-3	1.105192141417210E-3
28.500000000000014E+0	3.460647240408733E-3	904.807949858175170E-6
29.000000000000014E+0	3.657306099048953E-3	875.911133053380860E-6
29.500000000000014E+0	3.748575422514039E-3	767.915024103099920E-6
30.000000000000014E+0	3.733091144461566E-3	715.631815632628160E-6
30.500000000000014E+0	3.914544528468435E-3	717.144943985668680E-6
31.000000000000014E+0	4.028083877822274E-3	658.140760856817960E-6
31.500000000000014E+0	4.174479099677759E-3	704.013215726206070E-6
32.000000000000014E+0	4.397726423138567E-3	729.200007815845460E-6
32.500000000000014E+0	4.605094577878986E-3	704.330730525648190E-6
33.000000000000014E+0	4.847519251913451E-3	754.960466647822100E-6
33.500000000000014E+0	4.941617137164282E-3	718.851311242844600E-6
34.000000000000014E+0	5.204442688626527E-3	651.633344870277940E-6
34.500000000000014E+0	5.417269293572432E-3	637.480150842760970E-6
35.000000000000014E+0	5.733252295710129E-3	646.429754695673270E-6
35.500000000000014E+0	6.023813645177084E-3	591.154855240730220E-6
36.000000000000014E+0	6.207252005574885E-3	486.522191610988660E-6
36.500000000000014E+0	6.583954009438737E-3	283.080217844399210E-6
37.000000000000014E+0	6.901662607448031E-3	308.036158431616710E-6
37.500000000000014E+0	7.161873138591448E-3	-144.769605790271840E-6
38.000000000000014E+0	7.283280504030971E-3	-13.079638515436494E-6
38.500000000000014E+0	7.553136585404829E-3	-358.368833396456410E-6
39.000000000000014E+0	8.364204946608866E-3	-90.271715396664234E-6
39.500000000000014E+0	8.620239441498197E-3	-501.749487646226360E-6
40.000000000000014E+0	8.982763189070604E-3	-740.108438844667480E-6
40.500000000000014E+0	9.524792354979867E-3	-1.173837386603674E-3
41.000000000000014E+0	9.929824246410595E-3	-1.731647977469201E-3
